"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType"
"Admin-Path","https://nekotab.app/dc-2026/admin/standings/round/1/speaker/","Speaker standings R1","301","200 or 302","https://dc-2026.nekotab.app/admin/standings/round/1/speaker/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/standings/round/1/reply/","Reply standings R1","301","200 or 302","https://dc-2026.nekotab.app/admin/standings/round/1/reply/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/standings/round/1/diversity/","Diversity R1","301","200 or 302","https://dc-2026.nekotab.app/admin/standings/round/1/diversity/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/break/","Break index","301","200 or 302","https://dc-2026.nekotab.app/admin/break/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/break/adjudicators/","Breaking adjs","301","200 or 302","https://dc-2026.nekotab.app/admin/break/adjudicators/","239","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/break/eligibility/","Break eligibility","301","200 or 302","https://dc-2026.nekotab.app/admin/break/eligibility/","241","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/checkins/prescan/","Check-in scanner","301","200 or 302","https://dc-2026.nekotab.app/admin/checkins/prescan/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/checkins/status/people/","People check-in status","301","200 or 302","https://dc-2026.nekotab.app/admin/checkins/status/people/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/checkins/status/venues/","Venue check-in status","301","200 or 302","https://dc-2026.nekotab.app/admin/checkins/status/venues/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/checkins/identifiers/","Check-in identifiers","301","200 or 302","https://dc-2026.nekotab.app/admin/checkins/identifiers/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/allocations/conflicts/adjudicator-team/","Adj-team conflicts","301","200 or 302","https://dc-2026.nekotab.app/admin/allocations/conflicts/adjudicator-team/","239","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/allocations/conflicts/adjudicator-adjudicator/","Adj-adj conflicts","301","200 or 302","https://dc-2026.nekotab.app/admin/allocations/conflicts/adjudicator-adjudicator/","234","text/html; charset=utf-8"
